City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Nawalgarh,IN,58.75,clear sky,27.85,75.2667,Roop Niwas Kothi
529,Vila,PT,54.73,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
531,Bereda,ES,56.95,clear sky,43.2686,-7.5406,Pazo de Verdes
532,Fasa,IR,45.64,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
535,Zadonsk,RU,24.94,broken clouds,52.3904,38.9261,Don Inn
536,Jhang,PK,51.62,clear sky,33.6748,72.6963,Bismallah sentory store
541,Aksu,CN,29.75,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
543,Erzin,TR,46.92,light rain,36.9559,36.2,Artemis Otel
544,Morag,PL,44.62,overcast clouds,53.9171,19.926,Hotel ELEKTOR
545,Muroto,JP,49.24,overcast clouds,33.2833,134.15,Oota Ryokan
547,Saint-Francois,FR,48.42,clear sky,46.4154,3.9054,Manoir Du Bonheur
549,Mnogovershinnyy,RU,-1.98,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
553,Ylivieska,FI,29.32,overcast clouds,64.0833,24.55,hotel Käenpesä
554,Crema,IT,54.82,clear sky,45.3588,9.6683,Park Hotel Residence
556,Praxedis Guerrero,MX,56.43,clear sky,31.3667,-106.0167,Congregación placitas de Otero
558,Ustka,PL,42.82,overcast clouds,54.5805,16.8619,Hotel Royal Baltic Luxury Boutique
560,Chachapoyas,PE,59.86,light rain,-6.2317,-77.869,Teresita
562,Chanute,US,59.45,clear sky,37.6792,-95.4572,Guest House Motel Chanute
564,Vestmannaeyjar,IS,32.99,clear sky,63.4427,-20.2734,Glamping & Camping
