City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Hermanus,ZA,-34.4187,19.2345,69.8,82,0,12.93,clear sky
198,Jaicos,BR,-7.3592,-41.1378,101.34,21,27,0.98,scattered clouds
199,Bardiyah,LY,31.7561,25.0865,53.19,55,53,18.66,broken clouds
200,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,73,75,4.61,light intensity drizzle
201,Waycross,US,31.2136,-82.354,59.05,42,0,5.75,clear sky
202,Brae,GB,60.3964,-1.353,40.91,62,75,33.24,broken clouds
203,Lichuan,CN,30.3,108.85,31.33,87,88,2.64,overcast clouds
204,Vostok,RU,46.4856,135.8833,-5.19,98,53,4.29,broken clouds
205,Katsuura,JP,35.1333,140.3,45.19,70,100,15.5,light rain
206,Manaure,CO,11.7751,-72.4445,89.71,55,77,15.68,broken clouds
207,Ostrovnoy,RU,68.0531,39.5131,23.83,85,100,24.61,overcast clouds
208,Baykit,RU,61.67,96.37,-11.27,99,99,2.06,overcast clouds
209,Redmond,US,47.674,-122.1215,49.05,84,96,1.01,overcast clouds
210,Bluff,NZ,-46.6,168.3333,59.81,97,98,5.5,overcast clouds
211,Cabo San Lucas,MX,22.8909,-109.9124,76.6,35,8,3.0,clear sky
212,Sao Filipe,CV,14.8961,-24.4956,76.84,58,5,5.93,clear sky
213,Artyom,AZ,40.4723,50.333,53.74,73,0,30.78,clear sky
214,Bocas Del Toro,PA,9.3333,-82.25,87.08,70,51,9.98,broken clouds
215,Kahului,US,20.8947,-156.47,73.85,74,20,7.0,few clouds
216,Lasa,IT,46.6166,10.7002,54.86,35,4,2.68,clear sky
217,Ilulissat,GL,69.2167,-51.1,10.42,61,100,20.71,overcast clouds
218,Meadow Lake,US,34.8014,-106.5436,49.42,40,0,5.61,clear sky
219,Souillac,MU,-20.5167,57.5167,79.18,78,40,3.44,scattered clouds
220,Neubrandenburg,DE,53.5667,13.2667,45.9,87,90,15.73,overcast clouds
221,Nara,JP,34.6851,135.8049,40.28,66,100,2.82,overcast clouds
222,Nadym,RU,65.5333,72.5167,-2.87,97,15,11.61,few clouds
223,Baleshwar,IN,21.4942,86.9317,68.07,77,0,5.03,clear sky
224,Illapel,CL,-31.6308,-71.1653,81.28,44,3,8.97,clear sky
225,Fairbanks,US,64.8378,-147.7164,-6.39,75,100,3.44,light snow
226,Mar Del Plata,AR,-38.0023,-57.5575,78.82,69,0,11.5,clear sky
227,Bredasdorp,ZA,-34.5322,20.0403,74.52,53,0,18.41,clear sky
228,Muli,MV,2.9167,73.5667,81.82,74,83,11.23,broken clouds
229,Methven,NZ,-43.6333,171.65,59.47,99,99,3.65,moderate rain
230,San Jose,US,37.3394,-121.895,69.62,50,0,3.0,clear sky
231,Gelemso,ET,8.8167,40.5167,65.8,34,15,4.92,few clouds
232,Tiksi,RU,71.6872,128.8694,-14.13,94,100,12.82,overcast clouds
233,Saint-Augustin,CA,51.226,-58.6502,31.26,87,100,21.99,overcast clouds
234,Cubara,CO,7.0008,-72.1085,83.55,61,96,0.81,overcast clouds
235,Sao Joaquim Da Barra,BR,-20.5814,-47.8547,79.92,77,47,4.36,scattered clouds
236,Haines Junction,CA,60.7522,-137.5108,33.75,86,96,3.44,overcast clouds
237,College,US,64.8569,-147.8028,-6.41,76,100,3.44,light snow
238,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,69,7,9.75,clear sky
239,Polunochnoye,RU,60.8697,60.4153,11.79,96,100,5.97,light snow
240,Westport,US,41.1415,-73.3579,45.45,54,0,4.0,clear sky
241,Katakwi,UG,1.8911,33.9661,84.07,22,100,10.18,overcast clouds
242,Salalah,OM,17.0151,54.0924,75.29,12,0,6.91,clear sky
243,Cherskiy,RU,68.75,161.3,-44.32,100,77,4.36,broken clouds
244,Lazaro Cardenas,MX,17.9583,-102.2,81.82,55,1,7.23,clear sky
245,San Policarpo,PH,12.1791,125.5072,79.27,76,92,14.23,overcast clouds
246,Key West,US,24.5557,-81.7826,71.6,82,100,16.11,overcast clouds
247,Bodden Town,KY,19.2833,-81.25,82.4,71,75,9.22,broken clouds
248,Sharan,RU,54.8167,54.0,21.69,91,100,13.58,light snow
249,Linhares,BR,-19.3911,-40.0722,83.52,69,91,8.55,overcast clouds
250,Moerai,PF,-22.4333,-151.3333,79.05,79,100,11.9,moderate rain
251,Awjilah,LY,29.1081,21.2869,55.69,41,15,7.96,few clouds
252,Provideniya,RU,64.3833,-173.3,-16.56,84,1,6.4,clear sky
253,Saint George,US,37.1041,-113.5841,59.34,33,0,0.0,clear sky
254,Batalha,BR,-9.6778,-37.1247,96.8,30,45,17.31,scattered clouds
255,Kavieng,PG,-2.5744,150.7967,80.73,81,64,6.82,light rain
256,Lima,PE,-12.0432,-77.0282,78.91,69,0,10.36,clear sky
257,Tarquinia,IT,42.2482,11.7553,56.03,79,4,4.5,clear sky
258,Borinskoye,RU,52.4569,39.3713,16.07,98,73,5.55,broken clouds
259,Malkangiri,IN,18.35,81.9,67.62,68,5,1.16,clear sky
260,Burnie,AU,-41.0667,145.9167,57.94,87,93,8.57,overcast clouds
261,Amapa,BR,1.0,-52.0,83.61,72,93,3.04,overcast clouds
262,Dali,CN,25.7,100.1833,38.75,72,2,4.83,clear sky
263,Rawson,AR,-43.3002,-65.1023,72.72,49,100,7.65,overcast clouds
264,Novyy Urengoy,RU,66.0833,76.6333,-3.41,94,49,11.81,scattered clouds
265,Luanda,AO,-8.8368,13.2343,78.8,78,75,9.22,broken clouds
266,Sri Aman,MY,1.2376,111.4621,75.25,94,100,0.0,overcast clouds
267,Marsa Matruh,EG,31.3525,27.2453,55.6,54,40,18.41,scattered clouds
268,Port Hardy,CA,50.6996,-127.4199,47.75,100,100,8.05,light rain
269,Palmer,US,42.1584,-72.3287,43.48,44,0,6.91,clear sky
270,Kuito,AO,-12.3833,16.9333,59.2,89,96,5.93,overcast clouds
271,Ojinaga,MX,29.5667,-104.4167,61.57,29,0,0.0,clear sky
272,Touros,BR,-5.1989,-35.4608,90.5,56,77,13.02,broken clouds
273,Broken Hill,AU,-31.95,141.4333,71.31,49,14,19.57,few clouds
274,Springbok,ZA,-29.6643,17.8865,74.19,28,0,7.58,clear sky
275,Tuljapur,IN,18.0,76.0833,75.0,33,5,9.53,clear sky
